,name,price,rate,offer,review,image
0,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV wit...,"₹13,990",4.4,25% off,"(86,262)",https://rukminim1.flixcart.com/image/612/612/xif0q/television/m/n/p/-original-imagkzctc2gkvfgf.jpeg?q=70
1,SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD...,"₹31,999",4.4,33% off,"(19,842)",https://rukminim1.flixcart.com/image/612/612/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70
2,SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED S...,"₹29,990",4.4,43% off,"(14,303)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/s/q/m/-original-imageq5eptqwxcv8.jpeg?q=70
3,SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,990",4.4,38% off,"(86,262)",https://rukminim1.flixcart.com/image/612/612/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70
4,SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD...,"₹46,990",4.4,33% off,"(19,842)",https://rukminim1.flixcart.com/image/612/612/l47cu4w0/television/v/9/l/-original-imagf5qugwkqdvfg.jpeg?q=70
5,SAMSUNG Crystal 4K Pro 146 cm (58 inch) Ultra HD (4K) L...,"₹48,490",4.4,40% off,"(19,842)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/t/3/k/-original-imageq5ekyzg27wa.jpeg?q=70
6,SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) L...,"₹28,999",4.4,47% off,"(19,842)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/v/h/5/-original-imageq5euy3ymznz.jpeg?q=70
7,SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED S...,"₹45,990",4.4,34% off,"(14,303)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/d/7/7/-original-imageq5ek3atjgse.jpeg?q=70
8,SAMSUNG Crystal 4K 163 cm (65 inch) Ultra HD (4K) LED S...,"₹69,990",4.4,40% off,"(14,303)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/w/f/9/-original-imageq5ejeymhxam.jpeg?q=70
9,SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED S...,"₹43,990",4.4,35% off,"(14,303)",https://rukminim1.flixcart.com/image/612/612/l3nco7k0/television/z/p/t/-original-imageq5ehvxshfgh.jpeg?q=70
10,SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹28,990",4.4,25% off,"(4,659)",https://rukminim1.flixcart.com/image/612/612/kfoapow0/television/v/h/k/samsung-ua43te50fakxxl-original-imafw2r7knjww635.jpeg?q=70
11,SAMSUNG Super 6 138 cm (55 inch) Ultra HD (4K) LED Smar...,"₹1,00,073",4.5,4% off,"(6,756)",https://rukminim1.flixcart.com/image/612/612/k1fbmvk0pkrrdj/television-refurbished/z/h/v/u-ua43nu6100kxxl-ua43nu6100klxl-a-samsung-original-imafjmyxejztt58g.jpeg?q=70
12,SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹16,200",4.1,12% off,(14),https://rukminim1.flixcart.com/image/612/612/xif0q/television/z/o/j/ua32t4360akxxl-ua32t4360akxxl-samsung-original-imagkyw6jg5hzbsp.jpeg?q=70
13,SAMSUNG 80 cm (32 inch) HD Ready LED TV,"₹13,490",4.3,17% off,"(7,195)",https://rukminim1.flixcart.com/image/612/612/kcc9q4w0/television/g/g/g/samsung-ua32t4010arxxl-ua32t4010arxxl-original-imafthw7jkneebw8.jpeg?q=70
14,SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) S...,"₹86,990",4.2,39% off,"(1,577)",https://rukminim1.flixcart.com/image/612/612/xif0q/television/u/h/n/-original-imaggwfzpgv9pbht.jpeg?q=70
15,SAMSUNG Q60RAK 163 cm (65 inch) QLED Ultra HD (4K) Smar...,"₹1,98,599",4.2,9% off,"(11,892)",https://rukminim1.flixcart.com/image/612/612/jx502vk0/television/z/w/s/samsung-qa65q60rakxxl-65q60rak-original-imafhnvgdxhghyyd.jpeg?q=70
16,SAMSUNG Series 4 59 cm (24 inch) HD Ready LED TV,"₹7,999",4.1,47% off,(18),https://rukminim1.flixcart.com/image/612/612/television/s/y/z/samsung-24k4100-original-imaemk4xbggzcvsh.jpeg?q=70
17,SAMSUNG 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tize...,"₹48,850",3.9,32% off,(110),https://rukminim1.flixcart.com/image/612/612/krgohow0/television/x/p/f/ua55au7500-samsung-original-imag58wknzsphrvj.jpeg?q=70
18,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹33,480",4.2,30% off,"(1,577)",https://rukminim1.flixcart.com/image/612/612/xif0q/television/p/s/f/ua43au7600-samsung-original-imagheaatsmnk9ty.jpeg?q=70
19,SAMSUNG 80 cm (32 inch) HD Ready LED Linux based TV,"₹13,290",4.5,25% off,"(4,566)",https://rukminim1.flixcart.com/image/612/612/kf5pzm80/television/w/b/d/samsung-ua32t4050arxxl-original-imafvz8repevzzqu.jpeg?q=70
